BEZEICHNUNG,STR_SCHL,GEMEINDE_KENNUNG,ID,KENNUNG,mw,benannt nach,URL
Heinz-Feuchter-Weg,03050,8421000,1806,STR,m,,
Helfensteinweg,03055,8421000,251,STR,,,
Helmholtzstraße,03060,8421000,302,STR,m,,https://de.wikipedia.org/wiki/Hermann_von_Helmholtz
Henkersgraben,03068,8421000,45,STR,,,
Herbert-von-Karajan-Platz,03075,8421000,144,STR,m,,https://de.wikipedia.org/wiki/Herbert_von_Karajan
Herdbruckerstraße,03081,8421000,9,STR,,,
Herderweg,03087,8421000,1386,STR,m,,https://de.wikipedia.org/wiki/Johann_Gottfried_Herder
Hermann-Hesse-Weg,03090,8421000,1388,STR,m,,https://de.wikipedia.org/wiki/Hermann_Hesse
Hermann-Köhl-Weg,03092,8421000,1739,STR,m,,https://de.wikipedia.org/wiki/Hermann_K%C3%B6hl
Hermann-Stehr-Weg,03094,8421000,568,STR,m,,https://de.wikipedia.org/wiki/Hermann_Stehr
Hermann-Wild-Weg,03103,8421000,831,STR,m,,
Hermannstraße,03107,8421000,423,STR,?,,
Herrenkellergasse,03120,8421000,75,STR,,,
Herrenweg,03124,8421000,1749,STR,,,
Herrlinger Straße,03133,8421000,676,STR,,,
Heusteige,03140,8421000,652,STR,,,
Heuweg,03146,8421000,593,STR,,,
Heinrich-Herrenberger-Straße,03150,8421000,192,STR,m,,
